Stn	T4700	G150	T1966	T461	T1338	T3133	Spp
Sørfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 2	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Sørfjord 2	70-70	131-131	102-102	141-143	NA	115-115	Calanus finmarchicus
Sørfjord 2	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Sørfjord 2	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Sørfjord 2	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Sørfjord 2	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Sørfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 2	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Sørfjord 2	70-70	131-131	102-102	141-143	NA	113-115	Calanus finmarchicus
Sørfjord 2	70-70	131-131	102-102	143-143	72-72	113-115	Calanus finmarchicus
Sørfjord 2	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	NA	75-75	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	NA	75-75	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	134-143	75-75	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	141-142	75-75	115-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	141-143	75-75	113-115	Calanus finmarchicus
Sørfjord 3	70-70	131-131	102-102	141-143	NA	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	NA	75-75	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	143-143	75-90	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	141-143	NA	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	141-143	NA	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	141-141	72-72	113-113	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	141-143	NA	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	143-143	NA	113-113	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	143-143	NA	113-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	141-143	75-75	113-115	Calanus finmarchicus
Sørfjord 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 3	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Sørfoldfjord 3	67-67	161-161	99-99	134-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	70-70	131-131	102-102	NA	75-75	113-115	Calanus finmarchicus
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	70-70	131-131	NA	143-143	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 3	67-67	161-161	99-99	NA	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	NA	72-72	NA	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	134-134	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	134-134	72-72	105-105	Calanus glacialis
Sørfoldfjord 3	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	105-105	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	134-136	72-72	105-105	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	105-105	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	105-105	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	134-134	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	105-107	Calanus glacialis
Sørfoldfjord 3	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	134-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	134-134	72-72	NA	Calanus glacialis
Sørfoldfjord 3	70-70	131-131	102-102	143-143	NA	113-115	Calanus finmarchicus
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	134-134	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	105-105	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	NA	NA	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 3	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	105-105	Calanus glacialis
Sørfoldfjord 3	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	105-105	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	105-105	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 3	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 2	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	105-107	Calanus glacialis
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 2	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 2	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	105-105	Calanus glacialis
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	105-105	Calanus glacialis
Sørfoldfjord 2	70-70	131-131	102-102	143-143	72-75	115-115	Calanus finmarchicus
Sørfoldfjord 2	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Sørfoldfjord 2	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 2	70-70	131-131	102-102	141-143	72-75	115-115	Calanus finmarchicus
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 2	70-70	131-131	102-102	139-141	75-75	113-115	Calanus finmarchicus
Sørfoldfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 2	67-67	161-161	99-99	134-136	72-72	105-105	Calanus glacialis
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	105-107	Calanus glacialis
Sørfoldfjord 2	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	105-107	Calanus glacialis
Sørfoldfjord 2	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	105-105	Calanus glacialis
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	105-105	Calanus glacialis
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	105-107	Calanus glacialis
Sørfoldfjord 2	67-67	161-161	99-99	134-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 1	67-67	161-161	99-99	134-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 1	67-67	161-161	99-99	NA	72-72	105-105	Calanus glacialis
Sørfoldfjord 1	70-70	131-131	102-102	141-143	NA	115-115	Calanus finmarchicus
Sørfoldfjord 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 1	67-67	161-161	99-99	136-136	72-72	105-107	Calanus glacialis
Sørfoldfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 1	70-70	131-131	102-102	141-143	NA	115-115	Calanus finmarchicus
Sørfoldfjord 1	70-70	131-131	102-102	141-143	72-72	115-115	Calanus finmarchicus
Sørfoldfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 1	67-67	161-161	99-99	134-134	72-72	107-107	Calanus glacialis
Sørfoldfjord 1	70-70	131-131	102-102	143-143	72-72	115-115	Calanus finmarchicus
Sørfoldfjord 1	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 1	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 1	70-70	131-131	102-102	143-143	72-72	113-115	Calanus finmarchicus
Sørfoldfjord 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Sørfoldfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 1	70-70	131-131	102-102	141-143	75-75	113-115	Calanus finmarchicus
Sørfoldfjord 1	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Sørfoldfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Sørfoldfjord 1	67-67	161-161	99-99	136-136	72-72	105-105	Calanus glacialis
Steinkjer	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	141-143	85-85	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	143-143	75-75	113-113	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	136-136	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	141-141	NA	110-113	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	141-143	NA	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	134-134	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	143-143	75-75	115-122	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	139-139	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	141-143	75-75	113-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	143-143	75-75	115-119	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	143-143	NA	113-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Steinkjer	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	NA	75-75	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	NA	75-75	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	NA	75-75	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	NA	75-75	NA	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	143-155	75-75	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	141-143	NA	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	143-146	75-75	113-113	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	143-143	72-72	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	141-143	72-75	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	143-143	75--9	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	148-148	NA	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	143-143	72-75	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	141-143	75-75	113-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Svinøy	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
